food_code,food_name,wweia_cat_num,wweia_cat_name,energy_kcal,carb_g,fiber_g,sugar_g,fat_g,sat_fat_g,protein_g,cholesterol_mg,portion_desc,portion_weight_g,energy_kcal_per_serving,carb_g_per_serving,fiber_g_per_serving,sugar_g_per_serving,fat_g_per_serving,sat_fat_g_per_serving,protein_g_per_serving,high_carb,high_sugar,low_fiber,high_sat_fat,diabetes_flag,ada_risk_level,source
11710905,"Infant formula, Gerber, NFS",9404,"Formula, prepared from powder",65,7.26,0.0,6.9,3.33,1.403,1.49,0,1 fl oz,30.5,19.8,2.2,0.0,2.1,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710911,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",9402,"Formula, ready-to-feed",66,7.3,0.0,7.3,3.34,1.401,1.45,0,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.0,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710917,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",9404,"Formula, prepared from powder",66,7.3,0.0,7.3,3.34,1.401,1.45,0,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.0,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710918,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",9404,"Formula, prepared from powder",66,7.3,0.0,7.3,3.34,1.401,1.45,0,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.0,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710919,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",9404,"Formula, prepared from powder",66,7.3,0.0,7.3,3.34,1.401,1.45,0,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.0,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710921,"Infant formula, Gerber Good Start Gentle, Stage 2",9404,"Formula, prepared from powder",66,7.3,0.0,7.3,3.34,1.401,1.45,0,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.0,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710930,"Toddler formula, Gerber Good Start, Stage 3",9404,"Formula, prepared from powder",62,6.43,0.0,6.42,3.32,1.361,1.72,0,1 fl oz,30.5,18.9,2.0,0.0,2.0,1.0,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710935,"Infant formula, premature, powder, made with water",9404,"Formula, prepared from powder",71,7.34,0.0,7.15,3.78,2.013,1.96,2,1 fl oz,30.5,21.7,2.2,0.0,2.2,1.2,0.6,0.6,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710945,"Infant formula, premature, ready-to-feed",9402,"Formula, ready-to-feed",71,7.34,0.0,7.15,3.78,2.013,1.96,2,1 fl oz,30.5,21.7,2.2,0.0,2.2,1.2,0.6,0.6,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710954,"Infant formula, organic, powder, made with water",9404,"Formula, prepared from powder",66,7.12,0.0,7.12,3.56,1.342,1.38,1,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710955,"Infant formula, organic, ready-to-feed",9402,"Formula, ready-to-feed",66,7.12,0.0,7.12,3.56,1.342,1.38,1,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710967,"Infant formula, store brand, advantage or tender, powder, made with tap water",9404,"Formula, prepared from powder",66,7.12,0.0,7.12,3.56,1.342,1.38,1,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710968,"Infant formula, store brand, advantage or tender, powder, made with bottled water",9404,"Formula, prepared from powder",66,7.12,0.0,7.12,3.56,1.342,1.38,1,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710969,"Infant formula, store brand, advantage or tender, powder, made with baby water",9404,"Formula, prepared from powder",66,7.12,0.0,7.12,3.56,1.342,1.38,1,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.4,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
11710970,"Infant formula, store brand, gentle or sensitivity",9404,"Formula, prepared from powder",66,7.15,0.0,7.12,3.51,1.88,1.46,2,1 fl oz,30.5,20.1,2.2,0.0,2.2,1.1,0.6,0.4,False,False,True,False,0,low,USDA FNDDS 2021-2023
