high_risk_food_code,high_risk_food_name,high_risk_category,high_risk_carb_per100g,high_risk_fiber_per100g,high_risk_portion,high_risk_portion_g,high_risk_carb_per_serving,swap_food_code,swap_food_name,swap_category,swap_carb_per100g,swap_fiber_per100g,swap_portion,swap_portion_g,swap_carb_per_serving,carb_saving_per_serving,fiber_gain_per_serving,ada_rule,swap_group,source
53521110,"Doughnut, yeast type","Doughnuts, sweet rolls, pastries",47.9,2.1,1 doughnut,60.0,28.8,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,13.7,13.6,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521110,"Doughnut, yeast type","Doughnuts, sweet rolls, pastries",47.9,2.1,1 doughnut,60.0,28.8,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,28.2,-0.9,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521130,"Doughnut, yeast type, with chocolate icing","Doughnuts, sweet rolls, pastries",51.0,1.9,1 doughnut,75.0,38.2,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,38.0,-1.3,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521130,"Doughnut, yeast type, with chocolate icing","Doughnuts, sweet rolls, pastries",51.0,1.9,1 doughnut,75.0,38.2,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,23.2,13.4,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521130,"Doughnut, yeast type, with chocolate icing","Doughnuts, sweet rolls, pastries",51.0,1.9,1 doughnut,75.0,38.2,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,37.6,-1.1,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521140,"Doughnut, jelly","Doughnuts, sweet rolls, pastries",52.3,1.9,1 doughnut,80.0,41.9,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,41.6,-1.4,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521140,"Doughnut, jelly","Doughnuts, sweet rolls, pastries",52.3,1.9,1 doughnut,80.0,41.9,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,26.8,13.3,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521140,"Doughnut, jelly","Doughnuts, sweet rolls, pastries",52.3,1.9,1 doughnut,80.0,41.9,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,41.3,-1.1,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521210,"Doughnut, custard-filled","Doughnuts, sweet rolls, pastries",42.9,1.7,1 doughnut,80.0,34.3,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,34.1,-1.3,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521210,"Doughnut, custard-filled","Doughnuts, sweet rolls, pastries",42.9,1.7,1 doughnut,80.0,34.3,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,19.3,13.5,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521210,"Doughnut, custard-filled","Doughnuts, sweet rolls, pastries",42.9,1.7,1 doughnut,80.0,34.3,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,33.7,-1.0,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521230,"Doughnut, custard-filled, with icing","Doughnuts, sweet rolls, pastries",46.2,1.6,1 doughnut,90.0,41.6,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,41.4,-1.3,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521230,"Doughnut, custard-filled, with icing","Doughnuts, sweet rolls, pastries",46.2,1.6,1 doughnut,90.0,41.6,43103000,Sesame seeds,Nuts and seeds,11.7,11.6,1 cup,128.0,15.0,26.6,13.4,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53521230,"Doughnut, custard-filled, with icing","Doughnuts, sweet rolls, pastries",46.2,1.6,1 doughnut,90.0,41.6,42102000,Brazil nuts,Nuts and seeds,11.7,7.5,1 nut,5.0,0.6,41.0,-1.1,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
53530000,Breakfast tart,"Doughnuts, sweet rolls, pastries",71.8,1.8,1 Pop Tart,54.0,38.8,42116000,"Walnuts, excluding honey roasted",Nuts and seeds,10.9,5.2,1 nut,2.0,0.2,38.6,-0.9,ADA recommends eliminating added sugars and choosing whole fruits instead,sweet_foods,USDA FNDDS 2021-2023 + ADA Diabetes Plate Method Guidelines
